distance, nfa
0, 468.66054738533103
1, 468.66054738533103
2, 468.66054738533103
3, 468.66054738533103
4, 468.66054738533103
5, 468.66054738533103
6, 468.66054738533103
7, 468.66054738533103
8, 468.66054738533103
9, 468.66054738533103
10, 468.66054738533103
11, 468.66054738533103
12, 468.66054738533103
13, 468.66054738533103
14, 468.66054738533103
15, 468.66054738533103
16, 468.66054738533103
17, 468.66054738533103
18, 468.66054738533103
19, 468.66054738533103
20, 468.66054738533103
21, 360.3119158486588
22, 468.66054738533103
23, 468.66054738533103
24, 468.66054738533103
25, 468.66054738533103
26, 468.66054738533103
27, 468.66054738533103
28, 468.66054738533103
29, 468.66054738533103
30, 468.66054738533103
31, 5.868908621426733
32, 116.73064857527666
33, 360.3119158486588
34, 226.23048432202617
35, 226.23048432202617
36, 116.73064857527666
37, 116.73064857527666
38, 116.73064857527666
39, 50.34637315380962
40, 226.23048432202617
41, 468.66054738533103
42, 360.3119158486588
43, 226.23048432202617
44, 226.23048432202617
45, 116.73064857527666
46, 226.23048432202617
47, 360.3119158486588
48, 226.23048432202617
49, 226.23048432202617
50, 116.73064857527666
51, 468.66054738533103
52, 468.66054738533103
53, 468.66054738533103
54, 360.3119158486588
55, 226.23048432202617
56, 50.34637315380962
57, 360.3119158486588
58, 226.23048432202617
59, 50.34637315380962
60, 226.23048432202617
61, 116.73064857527666
62, 468.66054738533103
63, 50.34637315380962
64, 116.73064857527666
65, 116.73064857527666
66, 468.66054738533103
67, 226.23048432202617
68, 360.3119158486588
69, 50.34637315380962
70, 5.868908621426733
71, 226.23048432202617
72, 116.73064857527666
73, 18.481920951505465
74, 226.23048432202617
75, 360.3119158486588
76, 360.3119158486588
77, 50.34637315380962
78, 468.66054738533103
79, 50.34637315380962
80, 18.481920951505465
81, 360.3119158486588
82, 226.23048432202617
83, 360.3119158486588
84, 468.66054738533103
85, 360.3119158486588
86, 226.23048432202617
87, 226.23048432202617
88, 50.34637315380962
89, 116.73064857527666
90, 50.34637315380962
91, 50.34637315380962
92, 116.73064857527666
93, 468.66054738533103
94, 18.481920951505465
95, 226.23048432202617
96, 360.3119158486588
97, 18.481920951505465
98, 360.3119158486588
99, 226.23048432202617
100, 50.34637315380962
101, 360.3119158486588
102, 226.23048432202617
103, 116.73064857527666
104, 116.73064857527666
105, 50.34637315380962
106, 226.23048432202617
107, 116.73064857527666
108, 226.23048432202617
109, 468.66054738533103
110, 360.3119158486588
111, 116.73064857527666
112, 226.23048432202617
113, 360.3119158486588
114, 226.23048432202617
115, 226.23048432202617
116, 116.73064857527666
117, 50.34637315380962
118, 50.34637315380962
119, 226.23048432202617
120, 18.481920951505465
121, 360.3119158486588
122, 360.3119158486588
123, 116.73064857527666
124, 360.3119158486588
125, 360.3119158486588
126, 116.73064857527666
127, 468.66054738533103
128, 116.73064857527666
129, 360.3119158486588
130, 116.73064857527666
131, 360.3119158486588
132, 226.23048432202617
133, 226.23048432202617
134, 360.3119158486588
135, 116.73064857527666
136, 360.3119158486588
137, 116.73064857527666
138, 226.23048432202617
139, 360.3119158486588
140, 360.3119158486588
141, 116.73064857527666
142, 468.66054738533103
143, 226.23048432202617
144, 116.73064857527666
145, 50.34637315380962
146, 18.481920951505465
147, 18.481920951505465
148, 116.73064857527666
149, 116.73064857527666
150, 116.73064857527666
151, 226.23048432202617
152, 226.23048432202617
153, 468.66054738533103
154, 116.73064857527666
155, 116.73064857527666
156, 360.3119158486588
157, 116.73064857527666
158, 360.3119158486588
159, 116.73064857527666
160, 360.3119158486588
161, 360.3119158486588
162, 360.3119158486588
163, 116.73064857527666
164, 50.34637315380962
165, 116.73064857527666
166, 18.481920951505465
167, 360.3119158486588
168, 0.08943680121243222
169, 1.6345401963288677
170, 116.73064857527666
171, 360.3119158486588
172, 468.66054738533103
173, 468.66054738533103
174, 360.3119158486588
175, 360.3119158486588
176, 5.868908621426733
177, 226.23048432202617
178, 468.66054738533103
179, 116.73064857527666
180, 360.3119158486588
181, 360.3119158486588
182, 18.481920951505465
183, 468.66054738533103
184, 18.481920951505465
185, 360.3119158486588
186, 226.23048432202617
187, 50.34637315380962
188, 360.3119158486588
189, 226.23048432202617
190, 468.66054738533103
191, 226.23048432202617
192, 50.34637315380962
193, 18.481920951505465
194, 360.3119158486588
195, 226.23048432202617
196, 50.34637315380962
197, 360.3119158486588
198, 468.66054738533103
199, 116.73064857527666
200, 360.3119158486588
201, 226.23048432202617
202, 226.23048432202617
203, 116.73064857527666
204, 50.34637315380962
205, 360.3119158486588
206, 226.23048432202617
207, 468.66054738533103
208, 226.23048432202617
209, 468.66054738533103
210, 50.34637315380962
211, 116.73064857527666
212, 360.3119158486588
213, 360.3119158486588
214, 5.868908621426733
215, 50.34637315380962
216, 50.34637315380962
217, 226.23048432202617
218, 226.23048432202617
219, 116.73064857527666
220, 226.23048432202617
221, 226.23048432202617
222, 116.73064857527666
223, 5.868908621426733
224, 360.3119158486588
225, 468.66054738533103
226, 116.73064857527666
227, 50.34637315380962
228, 18.481920951505465
229, 468.66054738533103
230, 360.3119158486588
231, 116.73064857527666
232, 360.3119158486588
233, 360.3119158486588
234, 116.73064857527666
235, 226.23048432202617
236, 226.23048432202617
237, 468.66054738533103
238, 360.3119158486588
239, 468.66054738533103
240, 226.23048432202617
241, 5.868908621426733
242, 360.3119158486588
243, 360.3119158486588
244, 468.66054738533103
245, 360.3119158486588
246, 116.73064857527666
247, 226.23048432202617
248, 116.73064857527666
249, 226.23048432202617
250, 226.23048432202617
251, 5.868908621426733
252, 226.23048432202617
253, 116.73064857527666
254, 18.481920951505465
255, 360.3119158486588
256, 468.66054738533103
257, 360.3119158486588
258, 5.868908621426733
259, 50.34637315380962
260, 360.3119158486588
261, 50.34637315380962
262, 468.66054738533103
263, 468.66054738533103
264, 360.3119158486588
265, 50.34637315380962
266, 226.23048432202617
267, 50.34637315380962
268, 360.3119158486588
269, 360.3119158486588
270, 226.23048432202617
271, 18.481920951505465
272, 226.23048432202617
273, 226.23048432202617
274, 50.34637315380962
275, 50.34637315380962
276, 226.23048432202617
277, 360.3119158486588
278, 50.34637315380962
279, 468.66054738533103
280, 50.34637315380962
281, 360.3119158486588
282, 226.23048432202617
283, 468.66054738533103
284, 226.23048432202617
285, 116.73064857527666
286, 18.481920951505465
287, 116.73064857527666
288, 360.3119158486588
289, 116.73064857527666
290, 18.481920951505465
291, 360.3119158486588
292, 116.73064857527666
293, 18.481920951505465
294, 226.23048432202617
295, 50.34637315380962
296, 360.3119158486588
297, 50.34637315380962
298, 226.23048432202617
299, 360.3119158486588
300, 50.34637315380962
301, 360.3119158486588
302, 116.73064857527666
303, 360.3119158486588
304, 360.3119158486588
305, 360.3119158486588
306, 360.3119158486588
307, 468.66054738533103
308, 50.34637315380962
309, 18.481920951505465
310, 226.23048432202617
311, 50.34637315380962
312, 360.3119158486588
313, 226.23048432202617
314, 468.66054738533103
315, 360.3119158486588
316, 226.23048432202617
317, 360.3119158486588
318, 468.66054738533103
319, 5.868908621426733
320, 226.23048432202617
321, 50.34637315380962
322, 226.23048432202617
323, 360.3119158486588
324, 50.34637315380962
325, 226.23048432202617
326, 360.3119158486588
327, 360.3119158486588
328, 226.23048432202617
329, 360.3119158486588
330, 50.34637315380962
331, 116.73064857527666
332, 468.66054738533103
333, 226.23048432202617
334, 226.23048432202617
335, 18.481920951505465
336, 1.6345401963288677
337, 468.66054738533103
338, 360.3119158486588
339, 360.3119158486588
340, 468.66054738533103
341, 468.66054738533103
342, 18.481920951505465
343, 50.34637315380962
344, 18.481920951505465
345, 116.73064857527666
346, 5.868908621426733
347, 226.23048432202617
348, 360.3119158486588
349, 50.34637315380962
350, 226.23048432202617
351, 50.34637315380962
352, 468.66054738533103
353, 116.73064857527666
354, 468.66054738533103
355, 468.66054738533103
356, 468.66054738533103
357, 50.34637315380962
358, 18.481920951505465
359, 116.73064857527666
360, 226.23048432202617
361, 468.66054738533103
362, 116.73064857527666
363, 226.23048432202617
364, 50.34637315380962
365, 226.23048432202617
366, 50.34637315380962
367, 360.3119158486588
368, 226.23048432202617
369, 50.34637315380962
370, 226.23048432202617
371, 50.34637315380962
372, 116.73064857527666
373, 360.3119158486588
374, 226.23048432202617
375, 116.73064857527666
376, 360.3119158486588
377, 50.34637315380962
378, 226.23048432202617
379, 468.66054738533103
380, 360.3119158486588
381, 468.66054738533103
382, 116.73064857527666
383, 360.3119158486588
384, 50.34637315380962
385, 468.66054738533103
386, 18.481920951505465
387, 226.23048432202617
388, 226.23048432202617
389, 50.34637315380962
390, 226.23048432202617
391, 360.3119158486588
392, 50.34637315380962
393, 116.73064857527666
394, 226.23048432202617
395, 226.23048432202617
396, 50.34637315380962
397, 116.73064857527666
398, 116.73064857527666
399, 360.3119158486588
400, 360.3119158486588
401, 50.34637315380962
402, 360.3119158486588
403, 360.3119158486588
404, 226.23048432202617
405, 5.868908621426733
406, 360.3119158486588
407, 5.868908621426733
408, 116.73064857527666
409, 116.73064857527666
410, 360.3119158486588
411, 226.23048432202617
412, 226.23048432202617
413, 360.3119158486588
414, 116.73064857527666
415, 116.73064857527666
416, 468.66054738533103
417, 360.3119158486588
418, 50.34637315380962
419, 468.66054738533103
420, 226.23048432202617
421, 116.73064857527666
422, 18.481920951505465
423, 116.73064857527666
424, 18.481920951505465
425, 226.23048432202617
426, 360.3119158486588
427, 116.73064857527666
428, 360.3119158486588
429, 360.3119158486588
430, 360.3119158486588
431, 226.23048432202617
432, 18.481920951505465
433, 50.34637315380962
434, 360.3119158486588
435, 360.3119158486588
436, 226.23048432202617
437, 360.3119158486588
438, 360.3119158486588
439, 0.40392687278480416
440, 116.73064857527666
441, 468.66054738533103
442, 50.34637315380962
443, 50.34637315380962
444, 226.23048432202617
445, 50.34637315380962
446, 360.3119158486588
447, 226.23048432202617
448, 116.73064857527666
449, 116.73064857527666
450, 468.66054738533103
451, 116.73064857527666
452, 360.3119158486588
453, 18.481920951505465
454, 226.23048432202617
455, 360.3119158486588
456, 50.34637315380962
457, 468.66054738533103
458, 468.66054738533103
459, 468.66054738533103
460, 468.66054738533103
461, 360.3119158486588
462, 18.481920951505465
463, 116.73064857527666
464, 226.23048432202617
465, 360.3119158486588
466, 226.23048432202617
467, 50.34637315380962
468, 360.3119158486588
469, 360.3119158486588
470, 226.23048432202617
471, 226.23048432202617
472, 226.23048432202617
473, 116.73064857527666
474, 360.3119158486588
475, 50.34637315380962
476, 50.34637315380962
477, 360.3119158486588
478, 360.3119158486588
479, 226.23048432202617
480, 226.23048432202617
481, 5.868908621426733
482, 226.23048432202617
483, 468.66054738533103
484, 226.23048432202617
485, 468.66054738533103
486, 468.66054738533103
487, 360.3119158486588
488, 468.66054738533103
489, 468.66054738533103
490, 468.66054738533103
491, 468.66054738533103
492, 468.66054738533103
493, 468.66054738533103
494, 468.66054738533103
495, 468.66054738533103
496, 468.66054738533103
497, 468.66054738533103
498, 468.66054738533103
499, 468.66054738533103
500, 468.66054738533103
501, 468.66054738533103
502, 468.66054738533103
503, 468.66054738533103
504, 468.66054738533103
505, 468.66054738533103
506, 468.66054738533103
507, 468.66054738533103
508, 468.66054738533103
509, 468.66054738533103
510, 468.66054738533103
511, 468.66054738533103
